timestamp,filename,url,drive,dest,expected_bytes,actual_bytes,status,seconds
2026-09-20T00:25:02,pm3106o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3106o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3106o.png,13092218,13092218,OK,42.6
2026-09-20T00:25:05,pm3111o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3111o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3111o.png,13092390,13092390,OK,29.0
2026-09-20T00:25:07,pm3114o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3114o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3114o.png,13152882,13152882,OK,9.2
2026-09-20T00:25:09,pm3115o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3115o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3115o.png,13130523,13130523,OK,10.6
2026-09-20T00:25:16,pm3118o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3118o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3118o.png,13153889,13153889,OK,9.6
2026-09-20T00:25:25,pm3120o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3120o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3120o.png,13266959,13266959,OK,8.2
2026-09-20T00:25:33,pm3121o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3121o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3121o.png,13300466,13300466,OK,8.2
2026-09-20T00:25:33,pm3116o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3116o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3116o.png,13075748,13075748,OK,31.5
2026-09-20T00:25:35,pm3119o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3119o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3119o.png,13165593,13165593,OK,25.1
2026-09-20T00:25:36,pm3117o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3117o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3117o.png,13125313,13125313,OK,31.0
2026-09-20T00:25:40,pm3122o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3122o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3122o.png,13323758,13323758,OK,7.4
2026-09-20T00:25:46,pm3124o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3124o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3124o.png,13332430,13332430,OK,11.0
2026-09-20T00:25:52,pm3123o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3123o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3123o.png,13333035,13333035,OK,18.6
2026-09-20T00:25:54,pm3126o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3126o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3126o.png,13305790,13305790,OK,13.8
2026-09-20T00:25:56,pm3125o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3125o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3125o.png,13308419,13308419,OK,20.0
2026-09-20T00:25:57,pm3127o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3127o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3127o.png,13303060,13303060,OK,11.3
2026-09-20T00:26:07,pm3131o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3131o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3131o.png,13322794,13322794,OK,10.5
2026-09-20T00:26:08,pm3128o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3128o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3128o.png,13285615,13285615,OK,16.4
2026-09-20T00:26:16,pm3132o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3132o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3132o.png,13315377,13315377,OK,9.0
2026-09-20T00:26:18,pm3129o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3129o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3129o.png,13311478,13311478,OK,24.1
2026-09-20T00:26:21,pm3133o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3133o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3133o.png,13343638,13343638,OK,12.8
2026-09-20T00:26:26,pm3134o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3134o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3134o.png,13342883,13342883,OK,9.4
2026-09-20T00:26:33,pm3130o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3130o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3130o.png,13301641,13301641,OK,36.4
