subject,n_pairs,residual_median,residual_mean,frac_beat_control,wilcoxon_p,cliffs_delta
129,46,8.356781667785002e-05,8.559350827116956e-05,0.5869565217391305,0.09351903062643813,0.1266540642722117
136,46,8.095306521385004e-05,0.00012603720311365866,0.5869565217391305,0.0913976023477052,0.18620037807183365
139,46,2.2740664910600038e-05,9.545976167858637e-05,0.5434782608695652,0.3363057139833777,0.0666351606805293
140,46,6.342888764140003e-05,0.00018297534523845866,0.6086956521739131,0.044505730234623585,0.08459357277882798
141,46,4.13272339585e-05,0.00012471968819587176,0.5869565217391305,0.19541865293852123,0.055293005671077505
142,46,5.86812153535e-06,4.2862800779463014e-05,0.5,0.39095803646393057,0.08790170132325142
143,46,0.00015333766264755003,0.00010912072795827172,0.6086956521739131,0.2149437986133118,0.13043478260869565
144,46,6.231952612429997e-05,0.00014070278103220436,0.6086956521739131,0.09245830202655728,0.09877126654064272
145,46,0.00010864984285694997,6.199318014109348e-05,0.5869565217391305,0.4094198780512064,0.09073724007561437
146,46,0.00013535907180419994,0.00017541008740964346,0.5869565217391305,0.16032677999231215,0.07419659735349717
147,46,0.00010558583024079999,5.609045176595435e-05,0.5652173913043478,0.33084709467365936,0.07277882797731569
149,46,7.373026539110003e-05,0.00015509001041834347,0.6086956521739131,0.24459141225302206,0.09168241965973535
150,46,2.247900239345002e-05,6.805599420276087e-05,0.5434782608695652,0.3155208685923607,0.1498109640831758
151,46,6.761120312560003e-05,0.00018700489961474568,0.6086956521739131,0.28183894433083134,0.08553875236294896
152,46,8.573687775984993e-05,0.00016132795486248697,0.6086956521739131,0.075823168368946,0.16446124763705103
153,46,4.305005498659995e-05,5.150516323720435e-05,0.5869565217391305,0.2697655115282034,0.09735349716446125
154,46,0.00010565272998019996,9.499813704124783e-05,0.6521739130434783,0.039435137411809616,0.16020793950850662
155,46,7.807052458575002e-05,4.0027955591606524e-05,0.5652173913043478,0.2990276029694723,0.07088846880907372
156,46,5.733225733699996e-05,0.00016065176010744998,0.5869565217391305,0.10354246096418392,0.11578449905482041
157,46,6.624607254744998e-05,0.00010893798596675872,0.5869565217391305,0.26507706518163465,0.10633270321361059
159,46,4.415252937974999e-05,4.341665388997609e-05,0.5652173913043478,0.4877929990720091,0.062381852551984876
160,46,0.00011128258969525002,0.00016570617310051307,0.6304347826086957,0.0338199547479598,0.15926275992438563
161,46,8.205757940759993e-05,0.00016401959486398476,0.6739130434782609,0.05657166220244827,0.09924385633270322
163,46,0.0001172505465492,0.00013599643745315653,0.5434782608695652,0.1492511474123811,0.13185255198487714
164,46,5.110110130050001e-05,5.0561524454432606e-05,0.5869565217391305,0.26980124824542295,0.08412098298676748
165,46,7.682589075695012e-05,6.421074871205e-05,0.5869565217391305,0.2490352967763082,0.10255198487712665
167,46,5.392803537660005e-05,4.442250622669783e-05,0.5869565217391305,0.19423895439087124,0.06805293005671077
168,46,5.974598754634981e-05,0.00018343910293376522,0.6304347826086957,0.0989752130615973,0.07372400756143667
169,46,5.310941657919998e-05,9.431555914227825e-05,0.5652173913043478,0.24680278910282483,0.07892249527410208
170,46,8.752146966330008e-05,0.00020735558214242825,0.5652173913043478,0.16032366064147774,0.10349716446124764
173,46,7.189825542515003e-05,6.848220205209783e-05,0.5869565217391305,0.10942516191563746,0.09829867674858223
174,46,5.640874946570009e-05,0.00012469302513495653,0.6086956521739131,0.051140895564303394,0.0883742911153119
176,46,5.167567272844998e-05,8.531300503852609e-05,0.6086956521739131,0.15550535585499206,0.18005671077504726
177,46,0.00010593163962675003,0.00016918786955268046,0.6304347826086957,0.012735611040187177,0.1833648393194707
178,46,4.688115411524994e-05,7.643666431844918e-05,0.5652173913043478,0.2917174452431024,0.07655954631379962
179,46,0.00012301350720690007,0.00015935694254711743,0.6521739130434783,0.06170741818686605,0.1668241965973535
180,46,0.00012887188935525005,0.0001000512144494696,0.6304347826086957,0.08233829044449881,0.11011342155009451
181,46,2.786010812029998e-05,0.00022625977967676304,0.5652173913043478,0.11437407068990076,0.11483931947069943
182,46,2.4400628431149997e-05,2.311469280880437e-05,0.5652173913043478,0.498221431824886,0.054820415879017016
183,46,0.00010341531863475003,0.0001154809782688239,0.6086956521739131,0.06806058692750597,0.12003780718336483
184,46,7.365910814200057e-06,6.827879067732827e-05,0.5217391304347826,0.2810319229250493,0.14272211720226843
185,46,0.00011510658303895004,0.00016720610668867174,0.6521739130434783,0.017743395248708757,0.18100189035916825
186,46,4.593990483489998e-05,4.295967636380872e-05,0.6086956521739131,0.12078571675046232,0.09688090737240075
188,46,0.00010011703935589999,8.173806594771305e-05,0.5869565217391305,0.22106324499864782,0.1275992438563327
