rank,node,system,cis_population_mean,degree_population_mean,peer_pool_n,peer_median_cis,cis_excess_ratio,top50_member
74,357,Cont,0.0002717824406804205,77.62172284644194,88,0.00015856265153872123,1.7140381927458552,False
75,57,SomMot,0.00026765389485805053,81.06367041198502,74,0.0002062601640785183,1.2976519050773232,False
76,378,Default,0.0002573299750195838,73.01248439450687,101,9.672893020449171e-05,2.6603206969783524,False
77,445,Subcortical_Cerebellar,0.0002551763477208301,81.01498127340824,74,0.0002062601640785183,1.2371576880143011,False
78,168,Default,0.0002548193272441568,71.18352059925094,112,7.616961478357975e-05,3.3454196659412463,False
79,351,Cont,0.00025181798578748386,82.6067415730337,68,0.0002100330856050505,1.1989443713692154,False
80,55,SomMot,0.0002498175808423126,75.26591760299625,97,0.00011467173660285643,2.1785453699677357,False
81,228,Vis,0.0002496238220348223,82.77278401997503,69,0.00021434742829996105,1.1645757731485116,False
82,315,SalVentAttn,0.0002458501498385741,69.00249687890137,105,4.678607127731622e-05,5.2547722671848325,False
83,115,Limbic,0.00024334946587583549,70.98751560549313,112,7.616961478357975e-05,3.1948365049142335,False
84,171,Default,0.0002417237111959479,83.66791510611735,64,0.00022974812153767207,1.0521248642997596,False
85,60,SomMot,0.0002406426357285783,81.93008739076154,67,0.00020794843181396987,1.1572226519306315,False
86,146,Cont,0.00024021925846898023,72.8501872659176,101,9.672893020449171e-05,2.4834272224570246,False
87,255,SomMot,0.00023679436623904373,83.64044943820225,64,0.00022974812153767207,1.0306694333525432,False
88,56,SomMot,0.00023472434445206543,82.10986267166042,68,0.00020862039522329015,1.12512654479844,False
89,296,SalVentAttn,0.00023151514182544937,85.2896379525593,54,0.0002507209039111531,0.9233978428359944,False
90,342,Cont,0.00023011797585606466,80.75405742821474,73,0.00020691162262931507,1.112155870858565,False
91,134,Cont,0.0002299582766812836,81.84019975031211,66,0.00020862039522329015,1.102280898447897,False
92,270,DorsAttn,0.00022953796639406054,84.97003745318352,57,0.0002496238220348223,0.9195355015517718,False
93,103,SalVentAttn,0.0002248828550136865,89.70536828963795,44,0.00035868484745212666,0.62696502685049,False
94,390,Default,0.000220526611591354,75.46441947565543,92,0.00012421907873771916,1.7753038730627055,False
95,268,SomMot,0.00021434742829996105,77.7103620474407,84,0.00015966269888845734,1.3425015973812848,False
96,359,Cont,0.0002107738125774905,76.10112359550561,95,0.00014078767099354766,1.4971041930734852,False
97,285,DorsAttn,0.00020929235863261045,80.60549313358302,73,0.00020691162262931507,1.0115060525505641,False
98,225,Vis,0.00020794843181396987,79.9338327091136,72,0.0002020426782335492,1.0292302281481043,False
99,353,Cont,0.00020691162262931507,80.3920099875156,73,0.00020691162262931507,1.0,False
100,193,Default,0.00020560870552772153,76.11111111111111,95,0.00014078767099354766,1.4604169816627242,False
